[0000]  WARN no explicit name and version provided for directory source, deriving artifact ID from the given path (which is not ideal)
NAME                               INSTALLED                           FIXED IN                           TYPE           VULNERABILITY        SEVERITY  EPSS           RISK          
stdlib                             go1.17                              *1.23.8, 1.24.2                    go-module      CVE-2025-22871       Critical  < 0.1% (5th)   < 0.1         
stdlib                             go1.20.12                           *1.23.8, 1.24.2                    go-module      CVE-2025-22871       Critical  < 0.1% (5th)   < 0.1         
stdlib                             go1.17                              *1.18.7, 1.19.2                    go-module      CVE-2022-2880        High      < 0.1% (8th)   < 0.1         
stdlib                             go1.17                              *1.17.11, 1.18.3                   go-module      CVE-2022-30580       High      < 0.1% (7th)   < 0.1         
stdlib                             go1.17                              *1.22.11, 1.23.5, 1.24.0-rc.2      go-module      CVE-2024-45341       Medium    < 0.1% (11th)  < 0.1         
stdlib                             go1.20.12                           *1.22.11, 1.23.5, 1.24.0-rc.2      go-module      CVE-2024-45341       Medium    < 0.1% (11th)  < 0.1         
stdlib                             go1.17                              *1.24.8, 1.25.2                    go-module      CVE-2025-58189       Medium    < 0.1% (12th)  < 0.1         
stdlib                             go1.20.12                           *1.24.8, 1.25.2                    go-module      CVE-2025-58189       Medium    < 0.1% (12th)  < 0.1         
stdlib                             go1.23.12                           *1.24.8, 1.25.2                    go-module      CVE-2025-58189       Medium    < 0.1% (12th)  < 0.1         
stdlib                             go1.17                              *1.17.11, 1.18.3                   go-module      CVE-2022-30629       Low       < 0.1% (20th)  < 0.1         
stdlib                             go1.17                              1.16.14, *1.17.7                   go-module      CVE-2022-23806       Critical  < 0.1% (5th)   < 0.1         
stdlib                             go1.17                              *1.17.11, 1.18.3                   go-module      CVE-2022-30634       High      < 0.1% (4th)   < 0.1         
golang.org/x/image                 v0.0.0-20210628002857-a66eb6448b8d  0.5.0                              go-module      GHSA-qgc7-mgm3-q253  Medium    < 0.1% (6th)   < 0.1         
stdlib                             go1.17                              *1.23.12, 1.24.6                   go-module      CVE-2025-47907       High      < 0.1% (4th)   < 0.1         
stdlib                             go1.20.12                           *1.23.12, 1.24.6                   go-module      CVE-2025-47907       High      < 0.1% (4th)   < 0.1         
stdlib                             go1.17                              *1.23.12, 1.24.6                   go-module      CVE-2025-47906       Medium    < 0.1% (5th)   < 0.1         
stdlib                             go1.20.12                           *1.23.12, 1.24.6                   go-module      CVE-2025-47906       Medium    < 0.1% (5th)   < 0.1         
stdlib                             go1.17                              *1.24.8, 1.25.2                    go-module      CVE-2025-58185       Medium    < 0.1% (6th)   < 0.1         
stdlib                             go1.20.12                           *1.24.8, 1.25.2                    go-module      CVE-2025-58185       Medium    < 0.1% (6th)   < 0.1         
stdlib                             go1.23.12                           *1.24.8, 1.25.2                    go-module      CVE-2025-58185       Medium    < 0.1% (6th)   < 0.1         
7-Zip                              21.02                               25.01                              binary         CVE-2025-55188       Low       < 0.1% (12th)  < 0.1         
7-Zip                              21.07                               25.01                              binary         CVE-2025-55188       Low       < 0.1% (12th)  < 0.1         
stdlib                             go1.17                              1.16.15, *1.17.8                   go-module      CVE-2022-24921       High      < 0.1% (3rd)   < 0.1         
stdlib                             go1.17                              1.16.8, *1.17.1                    go-module      CVE-2021-39293       High      < 0.1% (3rd)   < 0.1         
stdlib                             go1.17                              *1.18.8, 1.19.3                    go-module      CVE-2022-41716       High      < 0.1% (3rd)   < 0.1         
stdlib                             go1.17                              1.16.14, *1.17.7                   go-module      CVE-2022-23772       High      < 0.1% (3rd)   < 0.1         
stdlib                             go1.17                              *1.24.9, 1.25.3                    go-module      CVE-2025-58187       High      < 0.1% (2nd)   < 0.1         
stdlib                             go1.20.12                           *1.24.9, 1.25.3                    go-module      CVE-2025-58187       High      < 0.1% (2nd)   < 0.1         
stdlib                             go1.23.12                           *1.24.9, 1.25.3                    go-module      CVE-2025-58187       High      < 0.1% (2nd)   < 0.1         
stdlib                             go1.17                              *1.19.7, 1.20.2                    go-module      CVE-2023-24532       Medium    < 0.1% (5th)   < 0.1         
stdlib                             go1.17                              *1.18.7, 1.19.2                    go-module      CVE-2022-41715       High      < 0.1% (2nd)   < 0.1         
stdlib                             go1.17                              1.19.6                             go-module      CVE-2022-41724       High      < 0.1% (2nd)   < 0.1         
stdlib                             go1.17                              *1.18.7, 1.19.2                    go-module      CVE-2022-2879        High      < 0.1% (2nd)   < 0.1         
stdlib                             go1.17                              *1.20.11, 1.21.4                   go-module      CVE-2023-45284       Medium    < 0.1% (4th)   < 0.1         
stdlib                             go1.17                              *1.17.12, 1.18.4                   go-module      CVE-2022-28131       High      < 0.1% (1st)   < 0.1         
stdlib                             go1.17                              *1.19.8, 1.20.3                    go-module      CVE-2023-24537       High      < 0.1% (1st)   < 0.1         
stdlib                             go1.17                              *1.22.12, 1.23.6, 1.24.0-rc.3      go-module      CVE-2025-22866       Medium    < 0.1% (2nd)   < 0.1         
stdlib                             go1.20.12                           *1.22.12, 1.23.6, 1.24.0-rc.3      go-module      CVE-2025-22866       Medium    < 0.1% (2nd)   < 0.1         
github.com/disintegration/imaging  v1.6.2                                                                 go-module      GHSA-q7pp-wcgr-pffx  Low       < 0.1% (5th)   < 0.1         
stdlib                             go1.17                              *1.24.8, 1.25.2                    go-module      CVE-2025-58183       Medium    < 0.1% (2nd)   < 0.1         
stdlib                             go1.20.12                           *1.24.8, 1.25.2                    go-module      CVE-2025-58183       Medium    < 0.1% (2nd)   < 0.1         
stdlib                             go1.23.12                           *1.24.8, 1.25.2                    go-module      CVE-2025-58183       Medium    < 0.1% (2nd)   < 0.1         
stdlib                             go1.17                              *1.19.10, 1.20.5                   go-module      CVE-2023-29403       High      < 0.1% (0th)   < 0.1         
stdlib                             go1.17                              *1.23.11, 1.24.5                   go-module      CVE-2025-4674        High      < 0.1% (0th)   < 0.1         
stdlib                             go1.20.12                           *1.23.11, 1.24.5                   go-module      CVE-2025-4674        High      < 0.1% (0th)   < 0.1         
stdlib                             go1.17                              *1.23.10, 1.24.4                   go-module      CVE-2025-4673        Medium    < 0.1% (0th)   < 0.1         
stdlib                             go1.20.12                           *1.23.10, 1.24.4                   go-module      CVE-2025-4673        Medium    < 0.1% (0th)   < 0.1         
stdlib                             go1.17                              *1.23.10, 1.24.4                   go-module      CVE-2025-0913        Medium    < 0.1% (0th)   < 0.1         
stdlib                             go1.20.12                           *1.23.10, 1.24.4                   go-module      CVE-2025-0913        Medium    < 0.1% (0th)   < 0.1         
stdlib                             go1.17                              *1.21.11, 1.22.4                   go-module      CVE-2024-24789       Medium    < 0.1% (0th)   < 0.1         
stdlib                             go1.20.12                           *1.21.11, 1.22.4                   go-module      CVE-2024-24789       Medium    < 0.1% (0th)   < 0.1         
stdlib                             go1.17                              *1.17.12, 1.18.4                   go-module      CVE-2022-1962        Medium    < 0.1% (0th)   < 0.1         
actions/download-artifact          v4                                  4.1.3                              github-action  GHSA-cxww-7g56-2vh6  High      N/A            N/A
